Name;Typ;Preis NEU;Alkoholfrei;AI;F
APPLE CRUMBLE;Alkoholfrei;5.5;Ja;Ja;Ja
AQUARIUM;Alkoholfrei;7.5;Ja;Ja;Ja
BANANA SPLIT;Alkoholfrei;6.5;Ja;Ja;Ja
CHERRY BOMB;Alkoholfrei;7.5;Ja;Ja;Ja
COCO CHOCO LOCO;Alkoholfrei;5.5;Ja;Ja;Ja
ERDBEER COLADA;Alkoholfrei;7.5;Ja;Ja;Ja
IPANEMA;Alkoholfrei;7.5;Ja;Ja;Ja
PALM BEACH;Alkoholfrei;6.5;Ja;Ja;Ja
SUNRISE;Alkoholfrei;6.5;Ja;Ja;Ja
JEVER FUN 0.33 l;Alkoholfreis Bier;4.6;Ja;Ja;
SCHÖFFERHOFER GRAPEFRUIT ALKOHOLFREI;Alkoholfreis Bier;4.6;Ja;Ja;
SCHÖFFERHOFER WEIZEN 0.5 l;Alkoholfreis Bier;5.5;Ja;Ja;
OUZO 12 4 cl;Anises;4.9;;;
SAMBUCA MOLINARI 4 cl;Anises;4.9;;;
APEROL 4 cl;Aperitifs;4.9;;Ja;
CAMPARI 4 cl;Aperitifs;5.7;;Ja;
LILLET BLANC 5 cl;Aperitifs;4.9;;Ja;
MARTINI BIANCO 5 cl;Aperitifs;4.9;;;
MARTINI ROSSO 5 cl;Aperitifs;4.9;;;
NOILLY PRAT ORIGINAL DRY 5 cl;Aperitifs;5.7;;;
JUBILAEUMS AKVAVIT Dänemark 4 cl;Aquavit;4.9;;;
LINIE AQUAVIT Norwegen 4 cl;Aquavit;4.9;;;
MALTESER AQUAVIT Deutschland 4 cl;Aquavit;4.9;;;
COSMOPOLITAN;Barklassiker;7.9;;Ja;
ESPRESSO MARTINI;Barklassiker;8.2;;Ja;
LONG ISLAND ICED TEA;Barklassiker;11.9;;Ja;
MARGARITA;Barklassiker;8.2;;Ja;
MARGARITA alkoholfrei;Barklassiker;7.9;Ja;Ja;
NEGRONI;Barklassiker;10.2;;Ja;
WHISKY SOUR;Barklassiker;8.2;;Ja;
WHISKY SOUR alkoholfrei;Barklassiker;7.9;Ja;Ja;
RADEBERGER PILSNER 0.3 l;Bier vom Fass;4;;Ja;
RADEBERGER PILSNER 0.5 l;Bier vom Fass;5.5;;Ja;
AVERNA4 cl;Bitter;4.9;;;
FERNET-BRANCA 4 cl;Bitter;4.9;;;
JÄGERMEISTER 4 cl;Bitter;4.9;;;
RAMAZZOTTI 4 cl;Bitter;4.9;;;
CARDENAL MENDOZA Spanien 4 cl;Brandy;6.7;;;
